id,name,area,image,term,source,last_seen
galak-yakov-efimovich,ГАЛАК Яков Ефимович,21,http://vspmr.org/im.xp/049054052052057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/galak-yakov-efimovich/,2016-06-03
guzun-viktor-mihaylovich,ГУЗУН Виктор Михайлович,43,http://vspmr.org/im.xp/054057051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/guzun-viktor-mihaylovich/,2016-06-03
gushan-evgeniy-viktorovich,ГУШАН Евгений Викторович,35,http://vspmr.org/im.xp/049054052055052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/gushan-evgeniy-viktorovich/,2016-06-03
doni-vadim-mihaylovich,ДОНИ Вадим Михайлович,25,http://vspmr.org/im.xp/049054051056053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/doni-vadim-mihaylovich/,2016-06-03
djyachenko-grigoriy-ivanovich,ДЬЯЧЕНКО Григорий Иванович,39,http://vspmr.org/im.xp/049054051055048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/djyachenko-grigoriy-ivanovich/,2016-06-03
kalin-vitaliy-ivanovich,КАЛИН Виталий Иванович,,http://vspmr.org/im.xp/049054051057057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kalin-vitaliy-ivanovich/,2016-06-03
kovalj-efimiy-mihaylovich,КОВАЛЬ Ефимий Михайлович,31,http://vspmr.org/im.xp/054057052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kovalj-efimiy-mihaylovich/,2016-06-03
korshunov-aleksandr-viktorovich,КОРШУНОВ Александр Викторович,1,http://vspmr.org/im.xp/049050050056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/korshunov-aleksandr-viktorovich/,2016-06-03
kravchuk-vadim-viktorovich,КРАВЧУК Вадим Викторович,18,http://vspmr.org/im.xp/049054052050050124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/kravchuk-vadim-viktorovich/,2016-06-03
krasnoseljskiy-vadim-nikolaevich,КРАСНОСЕЛЬСКИЙ Вадим Николаевич,7,http://vspmr.org/im.xp/050049057055057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/krasnoseljskiy-vadim-nikolaevich/,2016-06-03
levitskiy-vadim-fedorovich,ЛЕВИЦКИЙ Вадим Федорович,41,http://vspmr.org/im.xp/049054052050055124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/levitskiy-vadim-fedorovich/,2016-06-03
leontjev-oleg-sergeevich,ЛЕОНТЬЕВ Олег Сергеевич,9,http://vspmr.org/im.xp/049054056053056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/leontjev-oleg-sergeevich/,2016-06-03
lipskiy-vadim-georgievich,ЛИПСКИЙ Вадим Георгиевич,33,http://vspmr.org/im.xp/049050052051124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/lipskiy-vadim-georgievich/,2016-06-03
martinov-aleksandr-vladimirovich,МАРТЫНОВ Александр Владимирович,24,http://vspmr.org/im.xp/049054053048056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/martinov-aleksandr-vladimirovich/,2016-06-03
matveychuk-valentin-nikolaevich,МАТВЕЙЧУК Валентин Николаевич,23,http://vspmr.org/im.xp/049054052052056124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/matveychuk-valentin-nikolaevich/,2016-06-03
mejinskiy-andrey-viktorovich,МЕЖИНСКИЙ Андрей Викторович,42,http://vspmr.org/im.xp/049056049055052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/mejinskiy-andrey-viktorovich/,2016-06-03
ogirchuk-dmitriy-vasiljevich,ОГИРЧУК Дмитрий Васильевич,11,http://vspmr.org/im.xp/049055051048048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/ogirchuk-dmitriy-vasiljevich/,2016-06-03
onufrienko-anton-nikolaevich,ОНУФРИЕНКО Антон Николаевич,8,http://vspmr.org/im.xp/049055057048052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/onufrienko-anton-nikolaevich/,2016-06-03
