uuid,twitter
39c1c1b3-e469-4b48-a74b-4809c7871df3,StevenBlaneyPCC
a9579889-f0eb-4eee-8aec-93dfa4ab01f4,HonStephaneDion
fd602c23-a9f7-4d01-8c16-2ebefd00a20a,stephanelauzon5
92cf3e51-5b9d-450e-8226-f50e5a71b35f,sukhdhaliwal
4a05556d-5fd4-4001-a2ad-f20e2cd047db,SvenTrueNorth
32f40ef3-f3a6-4d52-b78a-7eaf1fdb3fc1,SylviePCC2015
fd1d349b-da8c-4e8e-af02-18b0169d5888,TJHarveyLib
59973cd8-a0cd-4888-8c55-647f9e4eb018,TedFalkCPC
e1ec8894-bd78-49d5-9fc5-5d90d9b399bf,terrybeech
1b88ceb6-5dd6-4000-a34e-7d7553805a16,TerryDuguid
2fed1681-9e6d-4edb-be19-ee7399e366bd,VoteTerry
23b5d7bb-5adf-4c18-b47b-c57638abc901,ThomasMulcair
ceda6509-ed5c-4c40-a8d4-bf01107b3f23,ToddDohertyMP
d63c37ea-791e-4845-9808-2ab4e617a285,tomaszkmiec
d231263a-f01b-4af2-986c-10c2205f859b,TonyclementCPC
7566447b-bed1-47bb-ac4c-1b770b91a0c5,traceyram
29a50e8e-d8ac-42ff-b738-d694a07a4aad,VBadawey
f1abfe93-d884-42d4-857e-a7b025925eda,WayneEaster
3e474078-0118-4ef8-8384-32ed8241987b,WayneLongSJ
65f76152-78d9-49e8-bfb0-21be8926317b,WayneStetski
8ec82372-d491-4f6b-bada-2a9d1dd7df53,WillAAmos
94d50ec3-c2e3-4c05-b59d-326fe88ad532,Yasmin_Ratansi
d66db042-8065-40ad-a0ae-cc857aebccfa,YRobillardPLC
3f1f9819-2a86-407d-8cb3-a09e1ea9f60d,YvonneJJones
0a0c27f8-3e24-4553-9e53-1f09d046e974,ziad4manning
