name,suplente,area,party,image,term,source
H.D. LUIS ALEXANDER BARRIA MOSCOSO,"Guardia Quijada, David Victoriano",8-9,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_LUIS_BARRIA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. DALIA M. BERNAL Y,"Moreno Olivares, Boris Edgardo",8-6,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_DALIA_BERNAL_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ROSA CANTO,"González Bedoya, José Higinio",8-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_ROSA_CANTO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. FERNANDO GUILLERMO CARRILLO SILVESTRI,"Ringrose Wynter, Carlos Delano",8-8,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20FERNANDO_CARRILLO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. DANA D. CASTAÑEDA G.,"Pino Chanis, Gregori",2-3,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_DANA_CASTANEDA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSÉ LUIS CASTILLO GÓMEZ,"Aguilar Franceschi, Carlos Eugenio",4-3,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/hd_jose_l_castillo_pwc.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ELIAS ARIEL CASTILLO GONZALEZ,"Dutary Maylín, Jorge Enrique",8-8,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/H.D_ELIAS_CASTILLO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MANUEL COHEN SALERNO,"Ríos Villalobos, Francisco Luis",6-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_MANUEL_COHEN_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ARISTIDES DE ICAZA HIDALGO,"Starnes P. de De Icaza, Nubia",8-5,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_ARIS_DE_ICAZA_2PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RUBEN DE LEON SANCHEZ,"Tristán Benavides, José Gertrudis",9-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_RUBEN%20DE%20LEON_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIA DEL CARMEN DELGADO BLANDON,"Corrales Frías, Abilio Anel",3-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_MARIA_DELGADO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSE ANTONIO DOMINGUEZ ALVAREZ,"Domínguez Barahona, Jorge Aquiles",8-6,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_JOSE_A_DOMINGUEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MIGUEL FANOVICH,"Moreno González, José Bernardo",4-1,Partido Molirena,http://www.asamblea.gob.pa/fotdip/HD_MIGUEL%20FANOVICH_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RUBEN DARIO FRIAS ORTEGA,"Frías O. de Herrera, Ana Tilsia",8-5,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_RUBEN_FRIAS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. SERGIO RAFAEL GALVEZ EVERS,"Lombana Franceschi, Diego Enrique",8-7,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_SERGIO_GALVEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. VIDAL GARCIA,"García Palacio, José Luis",8-9,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_VIDAL_GARCIA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ANA MATILDE GOMEZ RUILOBA,"Spadafora Mejía, Alida",8-7,Independiente,http://www.asamblea.gob.pa/fotdip/HD_ANA_M_GOMEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. PEDRO MIGUEL GONZALEZ PINZON,"Puga García, Carlos Enrique",9-3,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20PEDRO_M_GONZALEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. SAMIR GOZAINE ABDELMALAK,"Álvarez Herrera, Edgardo Dimas",4-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/H.D_SAMIR_GOZAINE_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. NESTOR A. GUARDIA JAEN,"Ramos Tuñón, Daniel",2-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20NESTOR_GUARDIA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RAUL A. HERNANDEZ L,"León González, Eric Alberto",2-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_RAUL_HERNANDEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ABSALON HERRERA GARCIA,"Morris Arias, Ubaldino",10-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/H.D%20ABSALON_HERRERA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. NELSON JACKSON PALMA,"Mack, Pascual",3-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_NELSON_JACKSON_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIO AUGUSTO LAZARUS NAVALO,"Bennett Rivera, Samuel Ricardo",3-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_MARIO_LAZARUS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. KATLEEN LEVY G,"Oda, Dimas Ascanio",8-10,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_KATLEEN_LEVY_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MARIO B. MILLER L,"Baker Abrego, Celestino",1-1,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_MARIO_MILLER_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CARLOS ALBERTO MOTTA NUQUES,"Cano González, Alexis",4-2,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_CARLOS_A_%20MOTTA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MELITÓN ALEJANDRO ARROCHA RUIZ,JUAN BAUTISTA MOYA MONTES,8-8,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/H.D.-MELITON-ARROCHA.png,2014,http://www.asamblea.gob.pa/diputados/
H.D. JOSE MUÑOZ MOLINA,"Muñoz M. de Ramírez, Mabia María",8-10,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_JOSE_MUNOZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
