party,page_id,district,term_id,image,name,region,details_url,chamber,term
Indépendant,mara-niarisy,Ankazoabo Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/39.jpg,MARA Niarisy,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=mara-niarisy,National Assembly,2013
MAPAR,maroriky,Befotaka Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/40.jpg,MARORIKY -,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=maroriky,National Assembly,2013
Indépendant,masy-goulamaly-marie-jeanne-darc,Tsihombe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/41.jpg,MASY Goulamaly Marie Jeanne d’Arc,Androy,http://www.assemblee-nationale.mg/?depute=masy-goulamaly-marie-jeanne-darc,National Assembly,2013
VP-MMM,milavonjy-andriasy-philobert,Ambovombe Androy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/42.jpg,MILAVONJY Andriasy Philobert,Androy,http://www.assemblee-nationale.mg/?depute=milavonjy-andriasy-philobert,National Assembly,2013
Indépendant,mohamad-ahmad,Fénérive Est,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/43.jpg,MOHAMAD Ahmad,Analanjirofo,http://www.assemblee-nationale.mg/?depute=mohamad-ahmad,National Assembly,2013
MAPAR,naharimamy-lucien-irmah,Mahanoro,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/44.jpg,NAHARIMAMY Lucien Irmah,Atsinanana,http://www.assemblee-nationale.mg/?depute=naharimamy-lucien-irmah,National Assembly,2013
MAPAR,nasser-ahmed,Antsiranana II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/45.jpg,NASSER Ahmed,Diana,http://www.assemblee-nationale.mg/?depute=nasser-ahmed,National Assembly,2013
MAPAR,ndahimananjara-nee-randrianarison-benedicte-benedicte-johanita,Toamasina I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/46.jpg,RASOLOFO Samuelson Jean Baptiste,Atsinanana,http://www.assemblee-nationale.mg/?depute=ndahimananjara-nee-randrianarison-benedicte-benedicte-johanita,National Assembly,2013
MAPAR,ndremanjary-paraina-odilon,Farafangana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/47.jpg,NDREMANJARY Paraina Odilon,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=ndremanjary-paraina-odilon,National Assembly,2013
Indépendant,nicolas-stephan-alphonse,Mahajanga I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/48.jpg,NICOLAS Stéphan Alphonse,Boeny,http://www.assemblee-nationale.mg/?depute=nicolas-stephan-alphonse,National Assembly,2013
Leader Fanilo,nivo-rufin,Farafangana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/49.jpg,NIVO Rufin,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=nivo-rufin,National Assembly,2013
MAPAR,rabarison-joseph-aime,Anosibe An’Ala,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/50.jpg,RABARISON Joseph Aimé,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rabarison-joseph-aime,National Assembly,2013
Indépendant,rabearisoa-jean-claude,Kandreho,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/51.jpg,RABEARISOA Jean Claude,Betsiboka,http://www.assemblee-nationale.mg/?depute=rabearisoa-jean-claude,National Assembly,2013
M. RAVALOMANANA,rabekijana-solofo-hery,Amparafaravola,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/52.jpg,RABEKIJANA Solofo Hery,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rabekijana-solofo-hery,National Assembly,2013
MAPAR,rabemananjara-celestine,Arivonimamo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/53.jpg,RABEMANANJARA Célestine,Itasy,http://www.assemblee-nationale.mg/?depute=rabemananjara-celestine,National Assembly,2013
VP-MMM,rabenirina-jean-jacques,Betioky Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/54.jpg,RABENIRINA Jean Jacques,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=rabenirina-jean-jacques,National Assembly,2013
M. RAVALOMANANA,rabenirina-jean-rene,Andilamena,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/55.jpg,RABENIRINA Jean Réné,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rabenirina-jean-rene,National Assembly,2013
Indépendant,rabenirina-maminiaina-solondraibe,Ambohidratrimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/56.jpg,RABENIRINA Maminiaina Solondraibe,Analamanga,http://www.assemblee-nationale.mg/?depute=rabenirina-maminiaina-solondraibe,National Assembly,2013
VP-MMM,rabetafika-norovelomampionona-roberthine,Isandra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/57.jpg,RABETAFIKA Norovelomampionona Roberthine,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=rabetafika-norovelomampionona-roberthine,National Assembly,2013
MAPAR,rafenomanantsoa-tsirimaharo-ny-aina,Antananarivo III,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/58.jpg,RAFENOMANANTSOA Tsirimaharo Ny Aina,Analamanga,http://www.assemblee-nationale.mg/?depute=rafenomanantsoa-tsirimaharo-ny-aina,National Assembly,2013
MAPAR,rahantanirina-lalao,Mahajanga I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/59.jpg,RAHANTANIRINA Lalao,Boeny,http://www.assemblee-nationale.mg/?depute=rahantanirina-lalao,National Assembly,2013
M. RAVALOMANANA,rahantasoa-lydia-aimee-vololona,Manjakandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/60.jpg,RAHANTASOA Lydia Aimée Vololona,Analamanga,http://www.assemblee-nationale.mg/?depute=rahantasoa-lydia-aimee-vololona,National Assembly,2013
Indépendant,raharijaona,Anjozorobe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/61.jpg,RAHARIJAONA -,Analamanga,http://www.assemblee-nationale.mg/?depute=raharijaona,National Assembly,2013
MAPAR,raharimalala-marie-lydia,Fandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/62.jpg,RAHARIMALALA Marie Lydia,Amoronimania,http://www.assemblee-nationale.mg/?depute=raharimalala-marie-lydia,National Assembly,2013
M. RAVALOMANANA,raharimanarivo-voahanginiaina,Antananarivo Atsimondrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/63.jpg,RAHARIMANARIVO Voahanginiaina,Analamanga,http://www.assemblee-nationale.mg/?depute=raharimanarivo-voahanginiaina,National Assembly,2013
VP-MMM,raharinirina-sydonie,Mananara Avaratra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/64.jpg,RAHARINIRINA Sydonie,Analanjirofo,http://www.assemblee-nationale.mg/?depute=raharinirina-sydonie,National Assembly,2013
MAPAR,raharoarilala-tinoka-roberto-michael,Sakaraha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/65.jpg,RAHAROARILALA Tinoka Roberto Michael,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=raharoarilala-tinoka-roberto-michael,National Assembly,2013
MAPAR,rahasimanana-paul-bert,Antananarivo IV,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/66.jpg,RAHASIMANANA Paul Bert,Analamanga,http://www.assemblee-nationale.mg/?depute=rahasimanana-paul-bert,National Assembly,2013
MAPAR,rahelihanta-jocelyne,Antsiranana I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/67.jpg,RAHELIHANTA Jocelyne,Diana,http://www.assemblee-nationale.mg/?depute=rahelihanta-jocelyne,National Assembly,2013
MAPAR,raherisoa-vololona-victorine,Antananarivo VI,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/68.jpg,RAHERISOA Vololona Victorine,Analamanga,http://www.assemblee-nationale.mg/?depute=raherisoa-vololona-victorine,National Assembly,2013
MAPAR,raholdina-ranaivo-herinantsoina-ranaivo-herinantsoina,Antananarivo V,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/69.jpg,RAHOLDINA Ranaivo Herinantsoina,Analamanga,http://www.assemblee-nationale.mg/?depute=raholdina-ranaivo-herinantsoina-ranaivo-herinantsoina,National Assembly,2013
Indépendant,raholijaona-harson,Tsiroanomandidy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/70.jpg,RAHOLIJAONA Harson,Bongolava,http://www.assemblee-nationale.mg/?depute=raholijaona-harson,National Assembly,2013
MAPAR,rajaobelina-lova-herizo,Moramanga,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/71.jpg,RAJAOBELINA Lova Herizo,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rajaobelina-lova-herizo,National Assembly,2013
M. RAVALOMANANA,rajaonson-lantoarijaona-maminiriana-tsitohaina,Antananarivo III,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/72.jpg,RAJAONSON Lantoarijaona Maminiriana Tsitohaina,Analamanga,http://www.assemblee-nationale.mg/?depute=rajaonson-lantoarijaona-maminiriana-tsitohaina,National Assembly,2013
MAPAR,rajaozanany-jean-claude,Mandritsara,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/73.jpg,RAJAOZANANY Jean Claude,Sofia,http://www.assemblee-nationale.mg/?depute=rajaozanany-jean-claude,National Assembly,2013
Indépendant,rakotobe-emiline,Amparafaravola,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/74.jpg,RAKOTOBE Emiline,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=rakotobe-emiline,National Assembly,2013
MAPAR,rakotomalala-lucien,Morombe,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/75.jpg,RAKOTOMALALA Lucien,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=rakotomalala-lucien,National Assembly,2013
Leader Fanilo,rakotomamonjy-jean-max,Andapa,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/76.jpg,RAKOTOMAMONJY Jean Max,Sava,http://www.assemblee-nationale.mg/?depute=rakotomamonjy-jean-max,National Assembly,2013
MAPAR,rakotomanga-lantoarivola-sedera,Antananarivo II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/77.jpg,RAKOTOMANGA Lantoarivola Sedera,Analamanga,http://www.assemblee-nationale.mg/?depute=rakotomanga-lantoarivola-sedera,National Assembly,2013
