name,party_id,constituency,wikiname,term
Markus Mustajärvi,vas,Lapin vaalipiiri,Markus Mustajärvi,37
Martti Mölsä,ps,Pirkanmaan vaalipiiri,Martti Mölsä,37
Martti Talja,kesk,Hämeen vaalipiiri,Martti Talja,37
Mats Löfström,r,Ahvenanmaan maakunnan vaalipiiri,Mats Löfström,37
Mats Nylund,r,Vaasan vaalipiiri,Mats Nylund,37
Matti Semi,vas,Savo-Karjalan vaalipiiri,Matti Semi,37
Matti Vanhanen,kesk,Uudenmaan vaalipiiri,Matti Vanhanen,37
Mauri Pekkarinen,kesk,Keski-Suomen vaalipiiri,Mauri Pekkarinen,37
Merja Mäkisalo-Ropponen,sd,Savo-Karjalan vaalipiiri,Merja Mäkisalo-Ropponen,37
Mika Kari,sd,Hämeen vaalipiiri,Mika Kari,37
Mika Lintilä,kesk,Vaasan vaalipiiri,Mika Lintilä,37
Mika Niikko,ps,Uudenmaan vaalipiiri,Mika Niikko,37
Mika Raatikainen,ps,Helsingin vaalipiiri,Mika Raatikainen,37
Mikaela Nylander,r,Uudenmaan vaalipiiri,Mikaela Nylander,37
Mikko Alatalo,kesk,Pirkanmaan vaalipiiri,Mikko Alatalo,37
Mikko Kärnä,kesk,Lapin vaalipiiri,Mikko Kärnä,37
Mikko Savola,kesk,Vaasan vaalipiiri,Mikko Savola,37
Mirja Vehkaperä,kesk,Oulun vaalipiiri,Mirja Vehkaperä,37
Nasima Razmyar,sd,Helsingin vaalipiiri,Nasima Razmyar,37
Niilo Keränen,kesk,Oulun vaalipiiri,Niilo Keränen,37
Olavi Ala-Nissilä,kesk,Varsinais-Suomen vaalipiiri,Olavi Ala-Nissilä,37
Olli Immonen,ps,Oulun vaalipiiri,Olli Immonen,37
Olli Rehn,kesk,Helsingin vaalipiiri,Olli Rehn,37
Olli-Poika Parviainen,vihr,Pirkanmaan vaalipiiri,Olli-Poika Parviainen,37
Outi Alanko-Kahiluoto,vihr,Helsingin vaalipiiri,Outi Alanko-Kahiluoto,37
Outi Mäkelä,kok,Uudenmaan vaalipiiri,Outi Mäkelä,37
Ozan Yanar,vihr,Helsingin vaalipiiri,Ozan Yanar,37
Paavo Arhinmäki,vas,Helsingin vaalipiiri,Paavo Arhinmäki,37
Paavo Väyrynen,kesk,Lapin vaalipiiri,Paavo Väyrynen,37
Paula Risikko,kok,Vaasan vaalipiiri,Paula Risikko,37
Pauli Kiuru,kok,Pirkanmaan vaalipiiri,Pauli Kiuru,37
Pekka Haavisto,vihr,Helsingin vaalipiiri,Pekka Haavisto,37
Pentti Oinonen,ps,Savo-Karjalan vaalipiiri,Pentti Oinonen,37
Pertti Hakanen,kesk,Pirkanmaan vaalipiiri,Pertti Hakanen,37
Pertti Salolainen,kok,Helsingin vaalipiiri,Pertti Salolainen,37
Peter Östman,kd,Vaasan vaalipiiri,Peter Östman,37
Petri Honkonen,kesk,Keski-Suomen vaalipiiri,Petri Honkonen,37
Petteri Orpo,kok,Varsinais-Suomen vaalipiiri,Petteri Orpo,37
Pia Viitanen,sd,Pirkanmaan vaalipiiri,Pia Viitanen,37
Pirkko Mattila,ps,Oulun vaalipiiri,Pirkko Mattila,37
Pirkko Ruohonen-Lerner,ps,Uudenmaan vaalipiiri,Pirkko Ruohonen-Lerner,37
Päivi Räsänen,kd,Hämeen vaalipiiri,Päivi Räsänen,37
Rami Lehto,ps,Hämeen vaalipiiri,Rami Lehto,37
Reijo Hongisto,ps,Vaasan vaalipiiri,Reijo Hongisto,37
Riitta Myller,sd,Savo-Karjalan vaalipiiri,Riitta Myller,37
Saara-Sofia Sirén,kok,Varsinais-Suomen vaalipiiri,Saara-Sofia Sirén,37
Sami Savio,ps,Pirkanmaan vaalipiiri,Sami Savio,37
Sampo Terho,ps,Helsingin vaalipiiri,Sampo Terho,37
Sanna Lauslahti,kok,Uudenmaan vaalipiiri,Sanna Lauslahti,37
Sanna Marin,sd,Pirkanmaan vaalipiiri,Sanna Marin,37
Sanni Grahn-Laasonen,kok,Hämeen vaalipiiri,Sanni Grahn-Laasonen,37
Sari Essayah,kd,Savo-Karjalan vaalipiiri,Sari Essayah,37
Sari Multala,kok,Uudenmaan vaalipiiri,Sari Multala,37
Sari Raassina,kok,Savo-Karjalan vaalipiiri,Sari Raassina,37
Sari Sarkomaa,kok,Helsingin vaalipiiri,Sari Sarkomaa,37
Sari Tanus,kd,Pirkanmaan vaalipiiri,Sari Tanus,37
Satu Hassi,vihr,Pirkanmaan vaalipiiri,Satu Hassi,37
Satu Taavitsainen,sd,Kaakkois-Suomen vaalipiiri,Satu Taavitsainen,37
Seppo Kääriäinen,kesk,Savo-Karjalan vaalipiiri,Seppo Kääriäinen,37
Silvia Modig,vas,Helsingin vaalipiiri,Silvia Modig,37
Simon Elo,ps,Uudenmaan vaalipiiri,Simon Elo,37
Sinuhe Wallinheimo,kok,Keski-Suomen vaalipiiri,Sinuhe Wallinheimo,37
Sirkka-Liisa Anttila,kesk,Hämeen vaalipiiri,Sirkka-Liisa Anttila,37
Sirpa Paatero,sd,Kaakkois-Suomen vaalipiiri,Sirpa Paatero,37
Sofia Vikman,kok,Pirkanmaan vaalipiiri,Sofia Vikman,37
Stefan Wallin,r,Varsinais-Suomen vaalipiiri,Stefan Wallin,37
Suna Kymäläinen,sd,Kaakkois-Suomen vaalipiiri,Suna Kymäläinen,37
Susanna Huovinen,sd,Keski-Suomen vaalipiiri,Susanna Huovinen,37
Susanna Koski,kok,Vaasan vaalipiiri,Susanna Koski,37
Tapani Tölli,kesk,Oulun vaalipiiri,Tapani Tölli,37
Tarja Filatov,sd,Hämeen vaalipiiri,Tarja Filatov,37
Teuvo Hakkarainen,ps,Keski-Suomen vaalipiiri,Teuvo Hakkarainen,37
Thomas Blomqvist,r,Uudenmaan vaalipiiri,Thomas Blomqvist,37
Tiina Elovaara,ps,Pirkanmaan vaalipiiri,Tiina Elovaara,37
Timo Harakka,sd,Uudenmaan vaalipiiri,Timo Harakka,37
Timo Heinonen,kok,Hämeen vaalipiiri,Timo Heinonen,37
Timo Kalli,kesk,Satakunnan vaalipiiri,Timo Kalli,37
Timo Korhonen,kesk,Oulun vaalipiiri,Timo Korhonen,37
Timo Soini,ps,Uudenmaan vaalipiiri,Timo Soini,37
Toimi Kankaanniemi,ps,Keski-Suomen vaalipiiri,Toimi Kankaanniemi,37
Tom Packalén,ps,Helsingin vaalipiiri,Tom Packalén,37
Touko Aalto,vihr,Keski-Suomen vaalipiiri,Touko Aalto,37
Tuomo Puumala,kesk,Vaasan vaalipiiri,Tuomo Puumala,37
Tuula Haatainen,sd,Helsingin vaalipiiri,Tuula Haatainen,37
Tytti Tuppurainen,sd,Oulun vaalipiiri,Tytti Tuppurainen,37
Ulla Parviainen,kesk,Oulun vaalipiiri,Ulla Parviainen,37
Veera Ruoho,ps,Uudenmaan vaalipiiri,Veera Ruoho,37
Vesa-Matti Saarakkala,ps,Vaasan vaalipiiri,Vesa-Matti Saarakkala,37
Ville Niinistö,vihr,Varsinais-Suomen vaalipiiri,Ville Niinistö,37
Ville Skinnari,sd,Hämeen vaalipiiri,Ville Skinnari,37
Ville Tavio,ps,Varsinais-Suomen vaalipiiri,Ville Tavio,37
Ville Vähämäki,ps,Oulun vaalipiiri,Ville Vähämäki,37
Wille Rydman,kok,Helsingin vaalipiiri,Wille Rydman,37
