name,wikiname,party,party_wikiname,term,start_date,end_date,id
Michiel van Veen,Michiel van Veen,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,michiel_van_veen
Mohammed Mohandis,Mohammed Mohandis,PvdA,Partij van de Arbeid (Nederland),2012,,,mohammed_mohandis
Mona Keijzer,Mona Keijzer,CDA,Christen-Democratisch Appèl,2012,,,mona_keijzer
Mustafa Amhaouch,Mustafa Amhaouch,CDA,Christen-Democratisch Appèl,2012,,,mustafa_amhaouch
Myrthe Hilkens,Myrthe Hilkens,PvdA,Partij van de Arbeid (Nederland),2012,,,myrthe_hilkens
Nine Kooiman,Nine Kooiman,SP,Socialistische Partij (Nederland),2012,,,nine_kooiman
Norbert Klein,Norbert Klein,50Plus,50Plus,2012,,,norbert_klein
Norbert Klein,Norbert Klein,Onafhankelijk,"",2012,,,norbert_klein
Ockje Tellegen,Ockje Tellegen,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,ockje_tellegen
Otwin van Dijk,Otwin van Dijk,PvdA,Partij van de Arbeid (Nederland),2012,,,otwin_van_dijk
Paul Ulenbelt,Paul Ulenbelt,SP,Socialistische Partij (Nederland),2012,,,paul_ulenbelt
Paul van Meenen,Paul van Meenen,D66,Democraten 66,2012,,,paul_van_meenen
Paulus Jansen,Paulus Jansen,SP,Socialistische Partij (Nederland),2012,,,paulus_jansen
Perjan Moors,Perjan Moors,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,perjan_moors
Peter Oskam,Peter Oskam,CDA,Christen-Democratisch Appèl,2012,,,peter_oskam
Pia Dijkstra,Pia Dijkstra,D66,Democraten 66,2012,,,pia_dijkstra
Pierre Heijnen,Pierre Heijnen,PvdA,Partij van de Arbeid (Nederland),2012,,,pierre_heijnen
Pieter Duisenberg,Pieter Duisenberg,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,pieter_duisenberg
Pieter Heerma,Pieter Heerma,CDA,Christen-Democratisch Appèl,2012,,,pieter_heerma
Pieter Litjens,Pieter Litjens,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,pieter_litjens
Pieter Omtzigt,Pieter Omtzigt,CDA,Christen-Democratisch Appèl,2012,,,pieter_omtzigt
Raymond Knops,Raymond Knops,CDA,Christen-Democratisch Appèl,2012,,,raymond_knops
Raymond de Roon,Raymond de Roon,PVV,Partij voor de Vrijheid,2012,,,raymond_de_roon
Reinette Klever,Reinette Klever,PVV,Partij voor de Vrijheid,2012,,,reinette_klever
Remco Dijkstra,Remco Dijkstra,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,remco_dijkstra
Renske Leijten,Renske Leijten,SP,Socialistische Partij (Nederland),2012,,,renske_leijten
Renske Leijten,Renske Leijten,SP,Socialistische Partij (Nederland),2012,,,renske_leijten
René Leegte,René Leegte,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,rené_leegte
Rik Grashoff,Rik Grashoff,GroenLinks,GroenLinks,2012,,,rik_grashoff
Roald van der Linde,Roald van der Linde,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,roald_van_der_linde
Roelof Bisschop,Roelof Bisschop,SGP,Staatkundig Gereformeerde Partij,2012,,,roelof_bisschop
Roelof van Laar,Roelof van Laar,PvdA,Partij van de Arbeid (Nederland),2012,,,roelof_van_laar
Roland van Vliet,Roland van Vliet,PVV,Partij voor de Vrijheid,2012,,,roland_van_vliet
Roland van Vliet,Roland van Vliet,Onafhankelijk,"",2012,,,roland_van_vliet
Ronald Plasterk,Ronald Plasterk,PvdA,Partij van de Arbeid (Nederland),2012,,,ronald_plasterk
Ronald Vuijk,Ronald Vuijk,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,ronald_vuijk
Ronald van Raak,Ronald van Raak,SP,Socialistische Partij (Nederland),2012,,,ronald_van_raak
Roos Vermeij,Roos Vermeij,PvdA,Partij van de Arbeid (Nederland),2012,,,roos_vermeij
Rudmer Heerema,Rudmer Heerema,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,rudmer_heerema
Sadet Karabulut,Sadet Karabulut,SP,Socialistische Partij (Nederland),2012,,,sadet_karabulut
Sadet Karabulut,Sadet Karabulut,SP,Socialistische Partij (Nederland),2012,,,sadet_karabulut
Salima Belhaj,Salima Belhaj,D66,Democraten 66,2012,,,salima_belhaj
Sander de Rouwe,Sander de Rouwe,CDA,Christen-Democratisch Appèl,2012,,,sander_de_rouwe
Selçuk Öztürk,Selçuk Öztürk,PvdA,Partij van de Arbeid (Nederland),2012,,,selçuk_Öztürk
Selçuk Öztürk,Selçuk Öztürk,Groep Kuzu/Öztürk,Groep Kuzu/Öztürk,2012,,,selçuk_Öztürk
Sharon Gesthuizen,Sharon Gesthuizen,SP,Socialistische Partij (Nederland),2012,,,sharon_gesthuizen
Sietse Fritsma,Sietse Fritsma,PVV,Partij voor de Vrijheid,2012,,,sietse_fritsma
Sjoera Dikkers,Sjoera Dikkers,PvdA,Partij van de Arbeid (Nederland),2012,,,sjoera_dikkers
Sjoerd Potters,Sjoerd Potters,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,sjoerd_potters
Sjoerd Wiemer Sjoerdsma,Sjoerd Wiemer Sjoerdsma,D66,Democraten 66,2012,,,sjoerd_wiemer_sjoerdsma
Stef Blok,Stef Blok,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,stef_blok
Steven van Weyenberg,Steven van Weyenberg,D66,Democraten 66,2012,,,steven_van_weyenberg
Stientje van Veldhoven,Stientje van Veldhoven,D66,Democraten 66,2012,,,stientje_van_veldhoven
Sultan Günal-Gezer,Sultan Günal-Gezer,PvdA,Partij van de Arbeid (Nederland),2012,,,sultan_günal-gezer
Sybrand van Haersma Buma,Sybrand van Haersma Buma,CDA,Christen-Democratisch Appèl,2012,,,sybrand_van_haersma_buma
Tamara Venrooy-van Ark,Tamara van Ark,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,tamara_venrooy-van_ark
Tanja Jadnanansing,Tanja Jadnanansing,PvdA,Partij van de Arbeid (Nederland),2012,,,tanja_jadnanansing
Teun van Dijck,Teun van Dijck,PVV,Partij voor de Vrijheid,2012,,,teun_van_dijck
Tjeerd van Dekken,Tjeerd van Dekken,PvdA,Partij van de Arbeid (Nederland),2012,,,tjeerd_van_dekken
Tjitske Siderius,Tjitske Siderius,SP,Socialistische Partij (Nederland),2012,,,tjitske_siderius
Tjitske Siderius,Tjitske Siderius,SP,Socialistische Partij (Nederland),2012,,,tjitske_siderius
Ton Elias,Ton Elias,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,ton_elias
Tunahan Kuzu,Tunahan Kuzu,PvdA,Partij van de Arbeid (Nederland),2012,,,tunahan_kuzu
Tunahan Kuzu,Tunahan Kuzu,Groep Kuzu/Öztürk,Groep Kuzu/Öztürk,2012,,,tunahan_kuzu
Vera Bergkamp,Vera Bergkamp,D66,Democraten 66,2012,,,vera_bergkamp
Wassila Hachchi,Wassila Hachchi,D66,Democraten 66,2012,,,wassila_hachchi
Wouter Koolmees,Wouter Koolmees,D66,Democraten 66,2012,,,wouter_koolmees
Yasemin Çegerek,Yasemin Çegerek,PvdA,Partij van de Arbeid (Nederland),2012,,,yasemin_Çegerek
Yasemin Çegerek,Yasemin Çegerek,PvdA,Partij van de Arbeid (Nederland),2012,,,yasemin_Çegerek
Ybeltje Berckmoes-Duindam,Ybeltje Berckmoes-Duindam,VVD,Volkspartij voor Vrijheid en Democratie,2012,,,ybeltje_berckmoes-duindam
