name,wikiname__sq,area,party,term,source,wikiname__en,id
Genc Ruli,Genc Ruli,Gjirokastër,PD,8,,,genc_ruli
Gent Strazimiri,Gent Strazimiri,Durrës,PD,8,,,gent_strazimiri
Gentian Bejko,"",Durrës,PS,8,,,gentian_bejko
Gerti Bogdani,Gerti Bogdani,Tiranë,PD,8,,,gerti_bogdani
Gjergji Papa,Gjergji Papa,Korçë,PD,8,,,gjergji_papa
Gjovalin Bzheta,Gjovalin Bzheta,Shkodër,PD,8,,,gjovalin_bzheta
Gjovalin Kadeli,Gjovalin Kadeli,Lezhë,PD,8,,,gjovalin_kadeli
Gledjon Rehovica,"",Berat,LSI,8,,,gledjon_rehovica
Gramoz Ruçi,Gramoz Ruçi,Fier,PS,8,,,gramoz_ruçi
Halim Kosova,Halim Kosova,Tiranë,PD,8,,,halim_kosova
Helidon Bushati,Helidon Bushati,Shkodër,PD,8,,,helidon_bushati
Igli Cara,Igli Cara,Durrës,PD,8,,,igli_cara
Ilir Meta,Ilir Meta,Tiranë,LSI,8,,,ilir_meta
Ilir Xhakolli,"",Korçë,PS,8,,,ilir_xhakolli
Ilirjan Pendavinji,"",Korçë,PS,8,,,ilirjan_pendavinji
Jorida Tabaku,Jorida Tabaku,Tiranë,PD,8,,,jorida_tabaku
Jozefina Topalli,Jozefina Topalli,Shkodër,PD,8,,,jozefina_topalli
Kastriot Islami,Kastriot Islami,Tiranë,PD,8,,,kastriot_islami
Kejdi Mehmetaj,"",Tiranë,LSI,8,,,kejdi_mehmetaj
Keltis Kruja,Keltis Kruja,Tiranë,PD,8,,,keltis_kruja
Klodiana Spahiu,"",Durrës,PS,8,,,klodiana_spahiu
Kozma Dashi,Kozma Dashi,Fier,PD,8,,,kozma_dashi
Koço Kokëdhima,"",Vlorë,PS,8,,,koço_kokëdhima
Liljana Elmazi,Liljana Elmazi,Vlorë,PD,8,,,liljana_elmazi
Luan Duzha,"",Elbasan,PR,8,,,luan_duzha
Luan Rama,Luan Rama,Tiranë,LSI,8,,,luan_rama
Luljeta Arapi,"",Elbasan,PS,8,,,luljeta_arapi
Luçiano Boçi,Luçiano Boçi,Elbasan,PD,8,,,luçiano_boçi
Majlinda Bregu,Majlinda Bregu,Tiranë,PD,8,,,majlinda_bregu
Majlinda Bufi,"",Fier,PS,8,,,majlinda_bufi
Mesila Doda,Mesila Doda,Fier,PD,8,,,mesila_doda
Mhill Fufi,"",Lezhë,PD,8,,,mhill_fufi
Mimoza Hafizi,"",Shkodër,PS,8,,,mimoza_hafizi
Mira Shehu,"",Vlorë,PS,8,,,mira_shehu
Miranda Rira,"",Elbasan,LSI,8,,,miranda_rira
Monika Kryemadhi,"",Lezhë,LSI,8,,,monika_kryemadhi
Musa Ulqini,"",Elbasan,PS,8,,,musa_ulqini
Myqerem Tafaj,Myqerem Tafaj,Tiranë,PD,8,,,myqerem_tafaj
Namik Dokle,Namik Dokle,Durrës,PS,8,,,namik_dokle
Namik Kopliku,"",Shkodër,PS,8,,,namik_kopliku
Nard Ndoka,Nard Ndoka,Shkodër,PD,8,,,nard_ndoka
Oerd Bylykbashi,Oerd Bylykbashi,Durrës,PD,8,,,oerd_bylykbashi
Olta Xhaçka,"",Korçë,PS,8,,,olta_xhaçka
Omer Mamo,"",Fier,PDIU,8,,,omer_mamo
Pandeli Majko,Pandeli Majko,Tiranë,PS,8,,,pandeli_majko
Parid Cara,"",Tiranë,PS,8,,,parid_cara
Paulin Sterkaj,"",Shkodër,PS,8,,,paulin_sterkaj
Petrit Vasili,"",Fier,LSI,8,,,petrit_vasili
Pirro Lutaj,"",Fier,PS,8,,,pirro_lutaj
Pjerin Ndreu,"",Tiranë,PS,8,,,pjerin_ndreu
Përparim Spahiu,"",Dibër,LSI,8,,,përparim_spahiu
Rakip Suli,"",Tiranë,PS,8,,,rakip_suli
Ridvan Bode,Ridvan Bode,Korçë,PD,8,,,ridvan_bode
Robert Bitri,"",Fier,LSI,8,,,robert_bitri
Roland Keta,Roland Keta,Dibër,PD,8,,,roland_keta
Sadri Abazi,"",Tiranë,PS,8,,,sadri_abazi
Sali Berisha,Sali Berisha,Tiranë,PD,8,,,sali_berisha
Sherefedin Shehu,Sherefedin Shehu,Dibër,PD,8,,,sherefedin_shehu
Shkëlqim Cani,"",Dibër,PS,8,,,shkëlqim_cani
Shkëlqim Selami,"",Vlorë,LSI,8,,,shkëlqim_selami
Shpëtim Idrizi,Shpëtim Idrizi,Fier,PD,8,,,shpëtim_idrizi
Silva Caka,"",Berat,LSI,8,,,silva_caka
Spartak Braho,"",Tiranë,PS,8,,,spartak_braho
Taulant Balla,"",Elbasan,PS,8,,,taulant_balla
Tom Doshi,"",Shkodër,PS,8,,,tom_doshi
Ulsi Manja,"",Dibër,PS,8,,,ulsi_manja
Valentina Leskaj,Valentina Leskaj,Vlorë,PS,8,,,valentina_leskaj
Vangjel Dule,"",Vlorë,PBDNJ,8,,,vangjel_dule
Vangjel Tavo,"",Gjirokastër,LSI,8,,,vangjel_tavo
Vasilika Hysi,"",Tiranë,PS,8,,,vasilika_hysi
Vexhi Muçmataj,"",Kukës,PS,8,,,vexhi_muçmataj
Vladimir Kosta,"",Gjirokastër,PS,8,,,vladimir_kosta
Voltana Ademi,Voltana Ademi,Shkodër,PD,8,,,voltana_ademi
Xhemal Qefalia,"",Tiranë,PS,8,,,xhemal_qefalia
Ylli Mihallaq Ziçishti,"",Korçë,PS,8,,,ylli_mihallaq_ziçishti
Ylli Shehu,"",Tiranë,PR,8,,,ylli_shehu
