id,name,position,start_date,end_date
498a65ef-aef5-4b6e-b862-55f9f2cb226b,Reiulf Steen,Minister of Transport and Communications,,
4677bca3-818a-43ac-8f8b-b45548181a59,Rolf Stranger,Mayor of Oslo,,
0f1c6adb-04ab-41c5-bd91-9114ec324904,Sigbjørn Johnsen,Minister of Finance of Norway,,
fb9bcb8a-348d-45db-abc1-1fefbb6914f4,Sissel Rønbeck,Minister of Transport and Communications,,
a27243e8-2489-44a1-b979-e58fee060f83,Svenn Thorkild Stray,Foreign Minister of Norway,1970-05-22,1971-03-17
a27243e8-2489-44a1-b979-e58fee060f83,Svenn Thorkild Stray,Foreign Minister of Norway,1981-10-14,1986-05-09
a27243e8-2489-44a1-b979-e58fee060f83,Svenn Thorkild Stray,President of the Nordic Council,1968-01-01,1968-12-31
0f3d9d10-8bc2-439d-ad59-e9b1045776cb,Sverre Kornelius Eilertsen Støstad,Minister of Labour and Social Inclusion,1939,1945
f48b2c19-d78c-452a-b02b-59da0c78f445,Terje Wold,minister of justice,1939,1945
71dcfbb6-f6b3-441a-9f80-9e95628189ea,Thor Listau,Government Director of Personnel,,
44cdd666-3206-4ff6-a328-05dc8d95655a,Thorbjørn Jagland,Prime Minister of Norway,1996-10-25,1997-10-17
44cdd666-3206-4ff6-a328-05dc8d95655a,Thorbjørn Jagland,Foreign Minister of Norway,2000-03-21,2001-10-19
44cdd666-3206-4ff6-a328-05dc8d95655a,Thorbjørn Jagland,President of Parliament of Norway,2005,2009
44cdd666-3206-4ff6-a328-05dc8d95655a,Thorbjørn Jagland,Secretary General of the Council of Europe,2009-10-01,
597f00c7-fc14-4609-b778-a44ba75d3c52,Tom Thoresen,Government Director of Personnel,,
bb81aa3e-98ae-4f09-a185-a3c660a2e709,Torild Skard,President of the Norwegian Association for Women's Rights,2006,2013
403ef9ae-5d3e-44ab-9ecf-e361507a582b,Trond Giske,Ministry of Trade and Industry,2009-10-20,2013-10-16
c4d2e9ef-054d-4ace-8ce8-7360dd7f23f8,Trygve Bratteli,Prime Minister of Norway,1971-03-17,1972-10-18
c4d2e9ef-054d-4ace-8ce8-7360dd7f23f8,Trygve Bratteli,Prime Minister of Norway,1973-10-16,1976-01-15
c4d2e9ef-054d-4ace-8ce8-7360dd7f23f8,Trygve Bratteli,President of the Nordic Council,1978-01-01,1978-12-31
c4d2e9ef-054d-4ace-8ce8-7360dd7f23f8,Trygve Bratteli,Minister of Transport and Communications,1960,1963
c4d2e9ef-054d-4ace-8ce8-7360dd7f23f8,Trygve Bratteli,Minister of Transport and Communications,1963,1964
3e820d8b-a38e-4360-85a0-2465ec5e8f0d,Trygve Lie,United Nations Secretary-General,1946-02-02,1952-11-10
3e820d8b-a38e-4360-85a0-2465ec5e8f0d,Trygve Lie,Foreign Minister of Norway,1940-11-19,1946-02-02
10726b84-f2ba-480d-94ae-3296fa34bb10,Trygve Slagsvold Vedum,Minister of Agriculture and Food (Norway),,
c9e8ba36-e1a2-463f-8037-95d082371af2,William Engseth,Minister of Transport and Communications,,
69d274ac-29a6-4f21-bf18-f9f9b85b12d9,Åslaug Haga,Minister of Petroleum and Energy,2007,2008
69d274ac-29a6-4f21-bf18-f9f9b85b12d9,Åslaug Haga,Minister of Local Government and Regional Development,2005,2007
69d274ac-29a6-4f21-bf18-f9f9b85b12d9,Åslaug Haga,Minister of Culture,2000,2001
ab033807-dc51-46f4-adf5-db94f323a46d,Øystein Djupedal,Minister of Education and Research,,
