id,name,group,group_id,gender,term,constituency,area-constituency,area-district,area-sub_region,area-region,area_type,qualification,email,phone,twitter,facebook,image,summary,date_of_birth,date_of_death,start_date,end_date
mp_161,Julius Mukasa Opondo,Independent,INDEP,male,10,Bujuma County,Bujuma County,Kalangala,Buganda,Central,Rural,,,,,,,,,,,
mp_162,Julius Ocen,Independent,INDEP,male,10,Kapelebyong County,Kapelebyong County,Amuria,Teso,Eastern,Rural,,,,,,,,,,,
mp_163,Kasirivu Atwoki,National Resistance Movement,NRM,male,10,Bugangaizi West,Bugangaizi West,Kibaale,Bunyoro,Western,Rural,Masters,,,,,,,1958,,,
mp_164,Kato Lubwama,Independent,INDEP,male,10,Rubaga South,Rubaga South,Kampala,Buganda,Central,Rural,,,,,,,,,,,
mp_165,Keefa Kiwanuka,National Resistance Movement,NRM,male,10,Kiboga East,Kiboga East,Kiboga,Buganda,Central,Rural,,,,,,,,,,,
mp_166,Kenneth Esiangu Eitunganane,Independent,INDEP,male,10,Soroti County,Soroti County,Soroti,Teso,Eastern,Rural,,,,,,,,,,,
mp_167,Kenneth Lubogo,National Resistance Movement,NRM,male,10,Bulamogi County,Bulamogi County,Kaliro,Busoga,Eastern,Rural,Post Graduate,,,,,,,1972,,,
mp_168,Kenneth Soyekwo Cheborion,Independent,INDEP,male,10,Tingey County,Tingey County,Kapchorwa,Sebbei,Eastern,Rural,,,,,,,,,,,
mp_169,Kezekiah Mbogo,National Resistance Movement,NRM,male,10,Budaka County,Budaka County,Budaka,Bukedi,Eastern,Rural,Bachelors,,,,,,,1972,,,
mp_17,Andrew Kaluya Kiiza,Independent,INDEP,male,10,Kigulu South,Kigulu South,Iganga,Busoga,Eastern,Rural,,,,,,,,,,,
mp_170,Lawrence Akuguzibwe,National Resistance Movement,NRM,male,10,Mwenge North,Mwenge North,Kyenjojo,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_171,Lawrence Bategeka Nkooto,National Resistance Movement,NRM,male,10,Hoima Municipality,Hoima Municipality,Hoima,Bunyoro,Western,Urban,,,,,,,,,,,
mp_172,Lawrence Bayika Onegiu,National Resistance Movement,NRM,male,10,Ora County,Ora County,Zombo,West Nile,Northern,Rural,,,,,,,,,,,
mp_173,Lawrence Cherop Mangusho,National Resistance Movement,NRM,male,10,Kween County,Kween County,Kween,Sebbei,Eastern,Rural,,,,,,,,,,,
mp_174,Lee Denis Oguzu,Forum for Democratic Change,FDC,male,10,Maracha,Maracha,Maracha,West Nile,Northern,Rural,,,,,,,,,,,
mp_175,Lucy  Otim Aciro,Independent,INDEP,female,10,Aruu County North,Aruu County North,Pader,Acholi,Northern,Rural,,,,,,,,,,,
mp_176,Lyandro Komakech,Democratic Party,DP,male,10,Gulu Municipality,Gulu Municipality,Gulu,Acholi,Northern,Rural,,,,,,,,,,,
mp_177,Magaret Muhanga,National Resistance Movement,NRM,male,10,Burahya County,Burahya County,Kabarole,Toro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_178,Mario Kania Obiga,National Resistance Movement,NRM,male,10,Terego East,Terego East,Arua,West Nile,Northern,Rural,,,,,,,,,,,
mp_179,Mark Dulu,National Resistance Movement,NRM,male,10,Adjumani East,Adjumani East,Adjumani,West Nile,Northern,Rural,,,,,,,,,,,
mp_18,Andrew Martial,National Resistance Movement,NRM,male,10,Igara East,Igara East,Bushenyi,Ankole,Western,Rural,,,,,,,,,,,
mp_180,Markson Jacob Oboth-Oboth,Independent,INDEP,male,10,West Budama South,West Budama South,Tororo,Bukedi,Eastern,Rural,Masters,,,@ObothOboth,,,,1971,,,
mp_181,Mathias Mpuuga,Democratic Party,DP,male,10,Masaka Municipality,Masaka Municipality,Masaka,Buganda,Central,Urban,Bachelors,,,@magulunnyondo,https://www.facebook.com/mathias.mpuuga?fref=ts,,,1975,,,
mp_182,Matia Kasaija,National Resistance Movement,NRM,male,10,Buyanja,Buyanja,Kibaale,Bunyoro,Western,Rural,Bachelors,,,,,,,1944,,,
mp_183,Maxwell Patrick Ebong Akora,Uganda Peoples' Congress,UPC,male,10,Maruzi County,Maruzi County,Apac,Lango,Northern,Rural,Bachelors,,,,,,,1965,,,
mp_184,Mbwatekamwa Gaffa,National Resistance Movement,NRM,male,10,Kasambya County,Kasambya County,Mubende,Buganda,Central,Rural,,,,,,,,,,,
mp_185,Medard Ssegona Lubega,Democratic Party,DP,male,10,Busiro  East,Busiro  East,Wakiso,Buganda,Central,Urban,Post Graduate,,,,,,,1975,,,
mp_186,Michael Ayepa,National Resistance Movement,NRM,male,10,Labwor,Labwor,Abim,Karamoja,Northern,Rural,,,,,,,,,,,
mp_187,Michael BukenyaIga,National Resistance Movement,NRM,male,10,Bukuya county,Bukuya county,Mubende,Buganda,Central,Rural,,,,,,,,,,,
mp_188,Michael Kabaziguruka,Forum for Democratic Change,FDC,male,10,Nakawa,Nakawa,Kampala,Buganda,Central,Urban,,,,,,,,,,,
mp_189,Michael Timuzigu,National Resistance Movement,NRM,male,10,Kajara,Kajara,Ntungamo,Ankole,Western,Rural,,,,,,,,,,,
mp_19,Annet Nyakecho,Independent,INDEP,female,10,Tororo County North,Tororo County North,Tororo,Bukedi,Eastern,Rural,Bachelors,,,,,,,1981,,,
mp_190,Michael Tusiime,National Resistance Movement,NRM,male,10,Mbarara Municipality,Mbarara Municipality,Mbarara,Ankole,Western,Urban,,,,,,,,,,,
mp_191,Michael Werikhe,National Resistance Movement,NRM,male,10,Bungokho South,Bungokho South,Mbale,Bugisu,Eastern,Rural,Masters,,,,,,,1955,,,
mp_192,Morris Adome Bildad,National Resistance Movement,NRM,male,10,Jie County,Jie County,Kotido,Karamoja,Northern,Rural,,,,,,,,,,,
mp_193,Morris Ogenga Latigo,Forum for Democratic Change,FDC,male,10,Agago North,Agago North,Agago,Acholi,Northern,Rural,,,,,,,,,,,
mp_194,Moses Ali,National Resistance Movement,NRM,male,10,Adjumani West,Adjumani West,Adjumani,West Nile,Northern,Rural,Post Graduate,,,,,,,1939,,,
mp_195,Moses Angundru,National Resistance Movement,NRM,male,10,Terego West,Terego West,Arua,West Nile,Northern,Rural,,,,,,,,,,,
mp_196,Moses Grace Balyeku,National Resistance Movement,NRM,male,10,Jinja West Municipality,Jinja West Municipality,JINJA,Busoga,Eastern,Urban,Masters,,,,,,,1976,,,
mp_197,Moses Kasibante,Independent,INDEP,male,10,Rubaga North,Rubaga North,Kampala,Buganda,Central,Rural,,,,,,,,1974,,,
mp_198,Moses Kizige,National Resistance Movement,NRM,male,10,Bugabula North,Bugabula North,Kamuli,Busoga,Eastern,Rural,,,,,,,,,,,
mp_199,Moses Nagwomu Musamba,National Resistance Movement,NRM,male,10,Bunyole East,Bunyole East,Butaleja,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_20,Anthony Akol,Forum for Democratic Change,FDC,male,10,Kilak North,Kilak North,Amuru,Acholi,Northern,Rural,,,,,,,,,,,
mp_200,Moses Walyomu Muwanika,National Resistance Movement,NRM,male,10,Kagoma County,Kagoma County,JINJA,Busoga,Eastern,Rural,,,,,,,,,,,
mp_201,Mubarak Munyagwa,Forum for Democratic Change,FDC,male,10,Kawempe South,Kawempe South,Kampala,Buganda,Central,Urban,,,,,,,,,,,
mp_202,Mudimi Nyasio Wamakuyu,National Resistance Movement,NRM,male,10,Elgon county,Elgon county,Bulambuli,Bugisu,Eastern,Rural,Masters,,,,,,,1969,,,
mp_203,Muhamad Muyanja Mbabali,National Resistance Movement,NRM,male,10,Bukoto South,Bukoto South,Lwengo,Buganda,Central,Rural,,,,,,,,,,,
mp_204,Muhammad Muwanga Kivumbi,Democratic Party,DP,male,10,Butambala County,Butambala County,Butambala,Buganda,Central,Rural,,,,@Muwangamuhammed,http://www.facebook.com/muhamadmuwanga.kivumbi,,,1970,,,
mp_205,Muhammad Nsereko,Independent,INDEP,male,10,Kampala Central,Kampala Central,Kampala,Buganda,Central,Urban,Post Graduate,,,,,,,1981,,,
mp_206,Mwesigwa Rukutana,National Resistance Movement,NRM,male,10,Rushenyi County,Rushenyi County,Ntungamo,Ankole,Western,Rural,Post Graduate,,,,,,,1959,,,
mp_207,Nathan Itungo,National Resistance Movement,NRM,male,10,Kashari south,Kashari south,Mbarara,Ankole,Western,Rural,,,,,,,,,,,
mp_208,Nathan Nandala Mafabi,Forum for Democratic Change,FDC,male,10,Budadiri West,Budadiri West,Sironko,Bugisu,Eastern,Rural,Masters,,,@Nandala_mafabi,https://www.facebook.com/nathan.nandalamafabi?fref=ts,,,1966,,,
mp_209,Nathan Samson Igeme Nabeta,National Resistance Movement,NRM,male,10,Jinja Municipality East,Jinja Municipality East,JINJA,Busoga,Eastern,Urban,,,,,,,,,,,
mp_21,Anthony Okello,National Resistance Movement,NRM,male,10,Kioga County,Kioga County,Amolatar,Lango,Northern,Rural,Bachelors,,,,,,,1971,,,
mp_210,Nelson Lufafa,National Resistance Movement,NRM,male,10,Butembe County,Butembe County,JINJA,Busoga,Eastern,Rural,,,,,,,,,,,
mp_211,Noah Wanzala Mutebi,National Resistance Movement,NRM,male,10,Nakasongola County,Nakasongola County,Nakasongola,Buganda,Central,Rural,,,,,,,,,,,
mp_212,Nsaba Buturo,National Resistance Movement,NRM,male,10,Bufumbira East,Bufumbira East,Kisoro,Kigezi,Western,Rural,,,,,,,,,,,
mp_213,Nsereko Wakayima ,Democratic Party,DP,male,10,Nansana municipality,Nansana municipality,Wakiso,Buganda,Central,Urban,,,,,,,,,,,
