identifier__kuvakazim,name,area,party,term,start_date,end_date,,
116,Fani Phanuel Phiri,Kadoma Central,ZANU PF,8,,,,
117,Isaac Mackenzie,Kariba,ZANU PF,8,,,,
118,Godfrey Gandawa,Magunje,ZANU PF,8,,,,
119,Kindness Paradza,Makonde,ZANU PF,8,,,,
120,Thomas Maseko,Mhangura,ZANU PF,8,,,,
121,Sylvester Nguni,Mhondoro-Mubaira,ZANU PF,8,,,,
122,Mike Gava,Mhondoro-Ngezi,ZANU PF,8,,,,
123,Peter Haritatos,Muzvezve,ZANU PF,8,,,,
124,Christopher Mutsvangwa,Norton,ZANU PF,8,,,,
125,Blessed Runesu,Sanyati,ZANU PF,8,,,,
126,Francis Mukwangwariwa,Zvimba East,ZANU PF,8,,,,
127,Ignatius Chombo,Zvimba North,ZANU PF,8,,,,
128,Walter Chidhakwa,Zvimba South,ZANU PF,8,,,,
129,Ziyambi Ziyambi,Zvimba West,ZANU PF,8,,,,
130,Kennedy Matimba,Bikita East,ZANU PF,8,,,,
131,Jeppy Jaboon,Bikita South,ZANU PF,8,,,,
132,Munyaradzi Kereke,Bikita West,ZANU PF,8,,,,
133,Denford Masiya,Chiredzi East,ZANU PF,8,,,,
134,Robert Mukwena,Chiredzi North,ZANU PF,8,,,,
135,Kalitso Gwanetsa,Chiredzi South,ZANU PF,8,,,,
136,Ephraim Gwanonodza,Chivi Central,ZANU PF,8,,,,
137,Mathias Tongofa,Chivi North,ZANU PF,8,,,,
138,Mafios Vutete,Chivi South,ZANU PF,8,,,,
139,Lovemore Matuke,Gutu Central,ZANU PF,8,,,,
140,Berta Chikwama,Gutu East,ZANU PF,8,,,,
141,Paul Chimedza,Gutu South,ZANU PF,8,,,,
142,Tongai Muzenda,Gutu West,ZANU PF,8,,,,
143,Edmond Mhere,Masvingo Central,ZANU PF,8,,,,
144,Davis Marapira,Masvingo North,ZANU PF,8,,,,
145,Walter Mzembi,Masvingo South,ZANU PF,8,,,,
146,Daniel Shumba,Masvingo Urban,ZANU PF,8,,,,
147,Ezira Ruvai,Masvingo West,ZANU PF,8,,,,
148,Chuma K. Bhasikiti,Mwenezi East,ZANU PF,8,,,,
149,Lamson Moyo,Mwenezi West,ZANU PF,8,,,,
150,Paradzai Chakona,Zaka Central,ZANU PF,8,,,,
151,Samson T. Mukanduri,Zaka East,ZANU PF,8,,,,
152,Robson Mavenyengwa,Zaka North,ZANU PF,8,,,,
153,Mapetere D. V. Mawere,Zaka West,ZANU PF,8,,,,
155,Innocent Pedzisai,Chirumanzu,ZANU PF,8,,,,
156,Kizito Chivamba,Chiwundura,ZANU PF,8,,,,
157,Cephas Sindi,Gokwe-Chireya,ZANU PF,8,,,,
158,Justice Mayor Wadyajena,Gokwe-Nembudziya,ZANU PF,8,,,,
159,Paul Mavima,Gokwe-Sengwe,ZANU PF,8,,,,
160,Jeffrey Runzirwai,Gokwe-Sesame,ZANU PF,8,,,,
161,Dorothy Mangami,Gokwe,ZANU PF,8,,,,
162,Melenia Mahiya,Gokwe-Gumunyu,ZANU PF,8,,,,
163,Leonard Chikomba,Gokwe-Kabuyuni,ZANU PF,8,,,,
164,Owen Ncube,Gokwe-Kana,ZANU PF,8,,,,
165,Miriam Makweya,Gokwe-Mapfungautsi,ZANU PF,8,,,,
166,Sesel Zvidzai,Gweru Urban,MDC-T,8,,,,
167,Masango Matambanadzo,Kwekwe Central,ZANU PF,8,,,,
168,Makhosini Hlongwane,Mberengwa East,ZANU PF,8,,,,
169,Iris Chiratidzo Mabuwa,Mberengwa South,ZANU PF,8,,,,
170,Joram Gumbo,Mberengwa West,ZANU PF,8,,,,
171,Settlement Chikwinya,Mbizo,MDC-T,8,,,,
172,Amos Chibaya,Mkoba,MDC-T,6,,,,
173,Harris Ncube,Redcliff,ZANU PF,8,,,,
174,Chenayimoyo D. Francis Nhema,Shurugwi North,ZANU PF,8,,,,
175,Tapiwanashe Matangaidze,Shurugwi South,ZANU PF,8,,,,
176,Mthokozisi M. Mpofu,Silobela,ZANU PF,8,,,,
177,Josephat Madubeko,Vungu,ZANU PF,8,,,,
178,Daniel M. Ncube,Zhombe,ZANU PF,8,,,,
179,John Holder,Zvishavane-Ngezi,ZANU PF,8,,,,
180,Fred Moyo,Zvishavane-Runde,ZANU PF,8,,,,
181,Dubeko Sibanda,Binga North,MDC-T,8,,,,
182,Joel G. Gabbuza,Binga South,ZANU PF,5,,,,
183,Clifford Sibanda,Bubi,ZANU PF,8,,,,
184,Brian Tshuma,Hwange Central,MDC-T,7,,,,
185,Tose Wesley Sansole,Hwange East,MDC-T,8,,,,
