id,name,sort_name,gender,summary,twitter,image,image_source
187,Sithemba Gumbo,"Gumbo, Sithemba",female,Lupane East Member of the National Assembly.,,,
188,Martin Khumalo,"Khumalo, Martin",male,Lupane West Constituency Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Hon_Martin_Khumalo.jpg,www.copac.gov.zw
189,Sithembiso Nyoni,"Nyoni, Sithembiso",female,Nkayi South Member of the National Assembly.,,http://www.kuvakazim.com/media_root/images/sithembiso_nyoni_01.jpg,http://img.bulawayo24.com/articles/sithembiso_nyoni_01.jpg
190,Abednico Bhebhe,"Bhebhe, Abednico",male,Nkayi South Member of the National Assembly,,http://www.kuvakazim.com/media_root/images/Abednico-Bhebhe.jpg,Internet
191,Roselyn Nkomo,"Nkomo, Roselyn",female,Tsholotsho North Member of the National Assembly.,,,
192,Zenzo Sibanda,"Sibanda, Zenzo",male,Tsholotsho South Member of the National Assembly.,,,
193,Obert Mpofu,"Mpofu, Obert",male,"Umguza Member of the National Assembly & Minister Transport, and Infrastructural Development. Former Minister of Mines and Mining Development (2009-2013)",,http://www.kuvakazim.com/media_root/images/obert-mpofu1.png,http://zimconnect.net/media/wp-content/uploads/2012/10/obert-mpofu1.png
194,Kembo Mohadi,"Mohadi, Kembo",male,Beitbridge East Member of the National Assembly and Minister of Home Affairs.,,http://www.kuvakazim.com/media_root/images/kembo-mohadi.gif,http://www.chronicle.co.zw/wp-content/uploads/2013/07/kembo-mohadi.gif
195,Metrine Mdau,"Mdau, Metrine",female,Beitbridge West Member of the National Assembly.,,,
196,Mathias S. Ndlovu,"Ndlovu, Mathias S.",male,,,,
197,Lungisani Nleya,"Nleya, Lungisani",male,Bulilima West Member of the National Assembly.,,,
198,Edson Gumbo,"Gumbo, Edson",male,Gwanda Central Member of the National Assembly,,,
199,Madodana Sibanda,"Sibanda, Madodana",male,Gwanda North Member of the National Assembly.,,,
200,Abednico Ncube,"Ncube, Abednico",male,Gwanda South Member of the National Assembly and Minister of State for Matebeleland South Province.,,,
201,Andrew Langa,"Langa, Andrew",male,"Insiza Member of Parliament & Minister of Sports, Arts and Culture. Former Deputy Minister of Public Service,Labour and Social Welfare.Also Former Deputy Minister of Tourism and Hospitality.",,http://www.kuvakazim.com/media_root/images/langa-andrew.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/07/langa-andrew.jpg
202,Malach Nkomo,"Nkomo, Malach",male,Insiza South Member of the National Assembly,,,
203,Obedingwa Mguni,"Mguni, Obedingwa",male,Mangwe Member of the National Assembly.,,,
204,Never Khanye,"Khanye, Never",male,Matobo North Member of the National Assembly.,,,
205,Soul Ncube,"Ncube, Soul",male,Matobo South Member of the National Assembly.,,,
206,William M. Dhewa,"Dhewa, William M.",male,Umzingwane Member of the National Assembly.,,,
207,Jonathan Moyo,"Moyo, Jonathan",male,"Jonathan Moyo is the Minister of Media, Information and Broadcasting Services.",,http://www.kuvakazim.com/media_root/images/jonathan-moyo-.jpg,http://www.newzimbabwe.com/news/images/news_bjonathan-moyo-glasses250.jpg
208,Joseph Made,"Made, Joseph",male,"Minister of Agriculture, Mechanisation and Irrigation",,http://www.kuvakazim.com/media_root/images/Joseph_made_1.jpeg,http://www.thezimbabwemail.com/templates/xhtml/add_ons/thumb.php?src=http://www.thezimbabwemail.com/files/made_530125459.jpg&h=300&w=336&q=100&zc=1
209,Lazarus Dokora,"Dokora, Lazarus",male,Lazarus Dokora is the Minister of Primary and Secondary Education.,,http://www.kuvakazim.com/media_root/images/Lazarus-Dokora.jpg,http://www.radiodialogue.com/wp-content/uploads/2013/09/Lazarus-Dokora.jpg
210,Oppah Muchinguri,"Muchinguri, Oppah",female,Manicaland Province Member of the National Assembly and Minister of Women Affairs and Community Development.,,http://www.kuvakazim.com/media_root/images/oppah_muchinguri.jpg,http://zimbabwenewsonline.com/thumbnail.php?file=oppah_muchinguri_389486365.jpg&size=article_medium
213,Eunice Moyo,"Moyo, Eunice",female,Minister of State for Bulawayo Province,,http://www.kuvakazim.com/media_root/images/Cde-Eunice-Moyo-1.jpg,http://www.chronicle.co.zw/wp-content/uploads/2013/09/Cde-Eunice-Moyo-1.jpg
215,Robert G. Mugabe,"Mugabe, Robert G.",male,Robert Mugabe is the President of Zimbabwe,,http://www.kuvakazim.com/media_root/images/Robert_Mugabe.jpg,http://assets-s3.mensjournal.com/img/article/if-you-think-robert-mugabe-hates-only-white-people-you-re-wrong/298_298_if-you-think-robert-mugabe-hates-only-white-people-you-re-wrong.jpg
217,Jacob Mudenda,"Mudenda, Jacob",male,Speaker of the National House of Assembly,,http://www.kuvakazim.com/media_root/images/Jacob_Speaker_of_Parly.jpg,http://www.southerneye.co.zw/wp-content/uploads/2013/09/joseph-mudenda-1.png
